decision	ogid	ark	title	creator	reason
reject	sobrero-mario-1883-07-10	https://gallica.bnf.fr/ark:/12148/bpt6k900971	Memorie scelte di Ascanio Sobrero / pubblicate dall'Associaz	Sobrero, Ascanio (1812-1888). Auteur du texte	given-name mismatch
reject	sobrero-mario-1883-07-10	https://gallica.bnf.fr/ark:/12148/bpt6k900971	Memorie scelte di Ascanio Sobrero / pubblicate dall'Associaz	Sobrero, Ascanio (1812-1888). Auteur du texte	given-name mismatch
reject	sobrero-mario-1883-07-10	https://gallica.bnf.fr/ark:/12148/bpt6k900971	Memorie scelte di Ascanio Sobrero / pubblicate dall'Associaz	Sobrero, Ascanio (1812-1888). Auteur du texte	given-name mismatch
reject	martini-mario-maria-1880-10-10	https://gallica.bnf.fr/ark:/12148/bpt6k8771432	Il quarantotto in Toscana. I, Diario inedito del comte Luigi	Martini, Ferdinando (1841-1928). Auteur du texte	given-name mismatch
reject	valli-francesco-1900-02-02	https://gallica.bnf.fr/ark:/12148/bpt6k871708s	Cenni biografici sul dottore Eusebio Valli da Ponsacco (Pisa	Valli, Eusebio (1755-1816). Auteur du texte	given-name mismatch
reject	aron-robert-1898-05-25	https://gallica.bnf.fr/ark:/12148/bpt6k1280048p	COMPENDIOLO // DI MOLTI DVBBI, SEGRETI // ET SENTENZE INTORN	Aron, Pietro (1490-1550?). Auteur du texte	given-name mismatch
