ogid	fname	gname	year	occ	gqid	cy	lang	work	ws_author
franc-nohain-legrand-1872-10-25	Franc-Nohain	(Legrand)	1872	novelist	A6-336	FR	fr	Les Mémoires de Footit et Chocolat	Franc-Nohain
houssaye-arsene-1814-03-28	Houssaye	Arsène	1814	novelist	A6-422	FR	fr	Souvenirs de jeunesse (Houssaye)	Arsène Houssaye
