ogid	fname	gname	year	occ	gqid	cy	ark	title	creator
fleuriot-zenaide-1829-10-28	Fleuriot	Zenaide	1829	novelist	A6-320	FR	https://gallica.bnf.fr/ark:/12148/bpt6k56853556	Papillonne : souvenirs de jeunesse d'un vieux campagnard (4e édition) / Mlle Zénaïde Fleuriot ; nouvelles illustrées de 	Fleuriot, Zénaïde (1829-1890). Auteur du texte
souvestre-emile-1806-04-15	Souvestre	Emile	1806	novelist	A6-753	FR	https://gallica.bnf.fr/ark:/12148/bpt6k58428361	Souvenirs d'un vieillard, la dernière étape, par Émile Souvestre, précédée d'une notice sur la vie d'Émile Souvestre, pa	Souvestre, Émile (1806-1854). Auteur du texte
feval-paul-1816-09-29	Feval	Paul	1816	novelist	A6-314	FR	https://gallica.bnf.fr/ark:/12148/bpt6k6365347k	Madame Gil Blas : souvenirs et aventures d'une femme de notre temps. T1 / rédigés d'après ses notes et manuscrits par Pa	Féval, Paul (1816-1887). Auteur du texte
curel-francois-1854-06-10	Curel	François	1854	writer	A6-222	FR	https://gallica.bnf.fr/ark:/12148/bpt6k5835757h	Théâtre complet. Tome 2 / François de Curel,... ; textes remaniés par l'auteur avec l'historique de chaque pièce, suivi 	Curel, François de (1854-1928). Auteur du texte
curel-francois-1854-06-10	Curel	François	1854	writer	A6-222	FR	https://gallica.bnf.fr/ark:/12148/bpt6k299292h	Théâtre complet : textes remaniés par l'auteur avec l'historique de chaque pièce, suivis des souvenirs de l'auteur.... T	Curel, François de (1854-1928). Auteur du texte
claretie-jules-1840-12-03	Claretie	Jules	1840	novelist	A6-201	FR	https://gallica.bnf.fr/ark:/12148/bpt6k6377216k	La canne de M. Michelet : promenades et souvenirs / Jules Claretie ; préface par Alfred Mézières,... ; douze composition	Claretie, Jules (1840-1913). Auteur du texte
daudet-ernest-1837-05-31	Daudet	Ernest	1837	writer	A6-231	FR	https://gallica.bnf.fr/ark:/12148/bpt6k91293f	Daniel de Kerfons : confession d'un homme du monde / Ernest Daudet	Daudet, Ernest (1837-1921). Auteur du texte
daudet-ernest-1837-05-31	Daudet	Ernest	1837	writer	A6-231	FR	https://gallica.bnf.fr/ark:/12148/bpt6k64972134	Daniel de Kerfons : confession d'un homme du monde. Tome 1 / Ernest Daudet	Daudet, Ernest (1837-1921). Auteur du texte
feuillet-octave-1821-08-11	Feuillet	Octave	1821	novelist	A6-313	FR	https://gallica.bnf.fr/ark:/12148/bpt6k6181267t	Les souvenirs de jeunesse : comédie mêlée de couplets, en quatre actes. [suivi de] York : comédie-vaudeville en un acte.	Feuillet, Octave (1821-1890). Auteur du texte
janin-jules-1804-02-16	Janin	Jules	1804	writer	A6-434	FR	https://gallica.bnf.fr/ark:/12148/bpt6k55310040	La confession. Tome 1 / par l'auteur de "L'âne mort et la femme guillotinée"	Janin, Jules (1804-1874). Auteur du texte
schure-edouard-1841-01-21	Schure	Edouard	1841	writer	A6-732	FR	https://gallica.bnf.fr/ark:/12148/bpt6k29598g	Édouard Schuré : son oeuvre et sa pensée / Alphonse Roux et Robert Veyssié. étude précédée de la Confession philosophiqu	Schuré, Édouard (1841-1929). Auteur du texte
paulhan-frederic-1856-04-21	Paulhan	Frédéric	1856	writer	A6-616	FR	https://gallica.bnf.fr/ark:/12148/bpt6k113274s	La fonction de la mémoire et le souvenir affectif / par Fr. Paulhan	Paulhan, Frédéric (1856-1931). Auteur du texte
reclus-elisee-1830-03-15	Reclus	Elisee	1830	writer	A6-674	FR	https://gallica.bnf.fr/ark:/12148/bpt6k326247c	Souvenir du 14 octobre : communication personnelle	Reclus, Élisée (1830-1905). Auteur du texte
houssaye-arsene-1814-03-28	Houssaye	Arsène	1814	novelist	A6-422	FR	https://gallica.bnf.fr/ark:/12148/bpt6k54424232	Les mille et une nuits parisiennes. La Confession de Caroline ; le Coup d'éventail ; les Noctambules ; Soeur Agnès ; Ces	Houssaye, Arsène (1814-1896). Auteur du texte
ribot-theodule-1839-12-18	Ribot	Theodule	1839	writer	A6-685	FR	https://gallica.bnf.fr/ark:/12148/bpt6k255891x	Les maladies de la mémoire (18e édition) / par Th. Ribot,...	Ribot, Théodule (1839-1916). Auteur du texte
courteline-georges-1858-06-25	Courteline	Georges	1858	novelist	A6-218	FR	https://gallica.bnf.fr/ark:/12148/bpt6k66064w	Margot ; [Un souvenir du siège] / Georges Courteline ; illustrations de L. Bombled, Albert Guillaume et Barrère	Courteline, Georges (1858-1929). Auteur du texte
bailly-jules-1832-12-13	Bailly	Jules	1832	writer	A6-1017	BE	https://gallica.bnf.fr/ark:/12148/bpt6k54933524	A la mémoire de Maria-Philomène Preud'homme : 19 avril 1860 / [Signé Jules Bailly]	Bailly, Jules (1832-1896). Auteur du texte
martin-henri-1810-02-20	Martin	Henri	1810	writer	A6-545	FR	https://gallica.bnf.fr/ark:/12148/bpt6k282496	Daniel Manin. précédé d'"Un Souvenir de Manin" (2e édition) / par Henri Martin ; par Ernest Legouvé,...	Martin, Henri (1810-1883). Auteur du texte
flers-robert-1872-11-25	Flers	Robert	1872	writer	A6-319	FR	https://gallica.bnf.fr/ark:/12148/bpt6k164644g	Le souvenir de Robert de Flers / Francis de Croisset. Les précieuses de Genève / par Robert Flers et Francis de Croisset	Flers, Robert de (1872-1927). Auteur du texte
martin-henri-1810-02-20	Martin	Henri	1810	writer	A6-545	FR	https://gallica.bnf.fr/ark:/12148/bpt6k5797065p	Académie impériale de Reims. Étude sur Linguet, par M. Henry Martin. Mémoire couronné dans la séance publique du 28 juil	Martin, Henri (1810-1883). Auteur du texte
figuier-louis-1819-02-15	Figuier	Louis	1819	writer	A6-316	FR	https://gallica.bnf.fr/ark:/12148/bpt6k97648873	Mémoire sur le ligneux et sur quelques produits qui lui sont isomères (papyrine, pectine, etc.) / par MM. J.-A. Poumarèd	Figuier, Louis (1819-1894). Auteur du texte
feval-paul-1816-09-29	Feval	Paul	1816	novelist	A6-314	FR	https://gallica.bnf.fr/ark:/12148/bpt6k6365022q	Madame Pistache / par Paul Féval, suivi de. [Un bal dans une maison de fous, souvenir du carneval ["sic"] de Vienne en 1	Féval, Paul (1816-1887). Auteur du texte
bailly-jules-1832-12-13	Bailly	Jules	1832	writer	A6-1017	BE	https://gallica.bnf.fr/ark:/12148/bpt6k5493360p	A la mémoire de Mme Albert Vilain, née Marie-Hermine Ménétrier, à Crotenay (Jura), décédée à Paris, le 6 juillet 1861...	Bailly, Jules (1832-1896). Auteur du texte
claretie-jules-1840-12-03	Claretie	Jules	1840	novelist	A6-201	FR	https://gallica.bnf.fr/ark:/12148/bd6t541959413	Institut de France. Académie française. Inauguration du monument élevé à la mémoire de Ch.-Guillaume Étienne, à Chamouil	Claretie, Jules (1840-1913). Auteur du texte
faguet-emile-1847-12-17	Faguet	Emile	1847	writer	A6-304	FR	https://gallica.bnf.fr/ark:/12148/bd6t54195945r	Inauguration du monument élevé à la mémoire de André Theuriet, à Bourg-la-Reine, le... 9 novembre 1913 / discours de M. 	Faguet, Émile (1847-1916). Auteur du texte
boissier-gaston-1823-08-15	Boissier	Gaston	1823	writer	A6-113	FR	https://gallica.bnf.fr/ark:/12148/bpt6k6457970g	Inauguration du monument élevé à la mémoire de Sainte-Beuve, à Paris, le 19 juin 1898 / [discours de MM. Gustave Larroum	Boissier, Gaston (1823-1908). Auteur du texte
dhotel-andre-1900-09-01	Dhotel	André	1900	novelist	A6-257	FR	https://gallica.bnf.fr/ark:/12148/bpt6k10037683	Mémoires de Sébastien / par André Dhôtel	Dhôtel, André (1900-1991). Auteur du texte
carcopino-jerome-1881-06-27	Carcopino	Jerome	1881	writer	A6-170	FR	https://gallica.bnf.fr/ark:/12148/bpt6k3357774k	Souvenirs romains / Jérôme Carcopino,...	Carcopino, Jérôme (1881-1970). Auteur du texte
siegfried-andre-1875-04-21	Siegfried	André	1875	writer	A6-741	FR	https://gallica.bnf.fr/ark:/12148/bpt6k3390170s	Mes souvenirs d'enfance / André Siegfried	Siegfried, André (1875-1959). Auteur du texte
maynial-edouard-1879-12-09	Maynial	Edouard	1879	writer	A6-563	FR	https://gallica.bnf.fr/ark:/12148/bpt6k34026660	Casanova après les "Mémoires" : la fin d'un aventurier / Édouard Maynial et Raoul Vèze	Maynial, Édouard (1879-1966). Auteur du texte
gebhart-emile-1839-07-19	Gebhart	Emile	1839	writer	A6-357	FR	https://gallica.bnf.fr/ark:/12148/bd6t5776794j	Souvenirs d'un vieil Athénien / Emile Gebhart,...	Gebhart, Émile (1839-1908). Auteur du texte
chevrillon-andre-1864-05-03	Chevrillon	André	1864	writer	A6-196	FR	https://gallica.bnf.fr/ark:/12148/bpt6k10037119	Portrait de Taine : souvenirs... ([8e éd.]) / André Chevrillon,...	Chevrillon, André (1864-1957). Auteur du texte
grancher-marcel-1897-08-12	Grancher	Marcel	1897	writer	E3-729	FR	https://gallica.bnf.fr/ark:/12148/bpt6k33926207	La fin des haricots : souvenirs / Marcel E. Grancher,...	Grancher, Marcel Étienne (1897-1976). Auteur du texte
carcopino-jerome-1881-06-27	Carcopino	Jerome	1881	writer	A6-170	FR	https://gallica.bnf.fr/ark:/12148/bpt6k33574964	Souvenirs de sept ans : 1937-1944 / Jérôme Carcopino	Carcopino, Jérôme (1881-1970). Auteur du texte
guirec-jean-charton-1898-07-31	Guirec	Jean (CHARTON)	1898	writer	E3-759	FR	https://gallica.bnf.fr/ark:/12148/bpt6k33945319	La belle comédie : récit, souvenirs littéraires, 1919-1939 / Jean Guirec	Guirec, Jean (1898-1988). Auteur du texte
marbo-camille-1883-04-11	Marbo	Camille	1883	novelist	A6-536	FR	https://gallica.bnf.fr/ark:/12148/bpt6k3359085k	A travers deux siècles : souvenirs et rencontres (1883-1967) / Camille Marbo	Marbo, Camille (1883-1969). Auteur du texte
harcourt-robert-1881-11-23	Harcourt	Robert	1881	writer	A6-407	FR	https://gallica.bnf.fr/ark:/12148/bpt6k3380747b	Souvenirs de captivité et d'évasions (Édition définitive) / Robert d'Harcourt,...	Harcourt, Robert d' (1881-1965). Auteur du texte
harcourt-robert-1881-11-23	Harcourt	Robert	1881	writer	A6-407	FR	https://gallica.bnf.fr/ark:/12148/bpt6k3368385k	Souvenirs de captivité et d'évasion : 1915-1918 / Robert d'Harcourt	Harcourt, Robert d' (1881-1965). Auteur du texte
dekobra-maurice-1885-05-26	Dekobra	Maurice	1885	novelist	A6-238	FR	https://gallica.bnf.fr/ark:/12148/bpt6k3382855v	Sous le signe du cobra : mes souvenirs de globe-trotter / Maurice Dekobra	Dekobra, Maurice (1885-1973). Auteur du texte
hillairet-jacques-coussillan-1886-07-31	Hillairet	Jacques (COUSSILLAN)	1886	writer	E3-791	FR	https://gallica.bnf.fr/ark:/12148/bpt6k3336063h	Le palais du Louvre : sa vie, ses grands souvenirs historiques (Éd. revue et augm.) / Jacques Hillairet	Hillairet, Jacques (1886-1984). Auteur du texte
arnoux-alexandre-1884-02-27	Arnoux	Alexandre	1884	novelist	A6-35	FR	https://gallica.bnf.fr/ark:/12148/bpt6k3368994m	Moriana et Galvani : un intermède, des souvenirs de théâtre / Alexandre Arnoux,... ; illustrations originales de Claude 	Arnoux, Alexandre (1884-1973). Auteur du texte
lalou-rene-1889-09-03	Lalou	René	1889	writer	A6-457	FR	https://gallica.bnf.fr/ark:/12148/bpt6k3347247p	Le Chef : confession lyrique / René Lalou	Lalou, René (1889-1960). Auteur du texte
leautaud-paul-1872-01-18	Leautaud	Paul	1872	writer	A6-475	FR	https://gallica.bnf.fr/ark:/12148/bpt6k3370335g	Mélange : souvenirs de Basoche, ménagerie intime, amour, femmes, etc. / Paul Léautaud ; une lithographie de Berthold Mah	Léautaud, Paul (1872-1956). Auteur du texte
