# P6a consolidated match pool (2026-07-27): PG+WS+Gallica+IA-fr after all manual passes
ogid	fname	gname	year	occ	gqid	cy	source	ref	title
veuillot-louis-1813-10-11	Veuillot	Louis	1813	writer	A6-796	FR	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k392051	Les français en Algérie : souvenirs d'un voyage fait en 1841 (2e édition) / par Louis Veuillot,...
claretie-jules-1840-12-03	Claretie	Jules	1840	novelist	A6-201	FR	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k6365959v	La France envahie (juillet à septembre 1870) : Forbach et Sedan Impressions et souvenirs de guerre (1er août 1
souvestre-emile-1806-04-15	Souvestre	Emile	1806	novelist	A6-753	FR	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k58428361	Souvenirs d'un vieillard, la dernière étape, par Émile Souvestre, précédée d'une notice sur la vie d'Émile Sou
carcopino-jerome-1881-06-27	Carcopino	Jerome	1881	writer	A6-170	FR	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k3357774k	Souvenirs romains / Jérôme Carcopino,...
siegfried-andre-1875-04-21	Siegfried	André	1875	writer	A6-741	FR	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k3390170s	Mes souvenirs d'enfance / André Siegfried
carcopino-jerome-1881-06-27	Carcopino	Jerome	1881	writer	A6-170	FR	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k33574964	Souvenirs de sept ans : 1937-1944 / Jérôme Carcopino
dekobra-maurice-1885-05-26	Dekobra	Maurice	1885	novelist	A6-238	FR	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k3382855v	Sous le signe du cobra : mes souvenirs de globe-trotter / Maurice Dekobra
leautaud-paul-1872-01-18	Leautaud	Paul	1872	writer	A6-475	FR	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k3370335g	Mélange : souvenirs de Basoche, ménagerie intime, amour, femmes, etc. / Paul Léautaud ; une lithographie de Be
ajalbert-jean-1863-06-10	Ajalbert	Jean	1863	novelist	A6-9	FR	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k4221142t	Mémoires en vrac : au temps du symbolisme, 1880-1890 / Jean Ajalbert,...
marmier-xavier-1808-06-22	Marmier	Xavier	1808	writer	A6-544	FR	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k9814356p	Souvenirs d'un voyageur (Nouvelle édition) / Xavier Marmier,...
marmier-xavier-1808-06-22	Marmier	Xavier	1808	writer	A6-544	FR	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k105465r	Souvenirs de voyages et traditions populaires / par X. Marmier
marmier-xavier-1808-06-22	Marmier	Xavier	1808	writer	A6-544	FR	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k1054664	Nouveaux souvenirs de voyage. Franche-Comté / par X. Marmier
marmier-xavier-1808-06-22	Marmier	Xavier	1808	writer	A6-544	FR	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k9692198f	Impressions et souvenirs d'un voyageur chrétien / par Xavier Marmier,...
montegut-emile-1825-06-23	Montegut	Emile	1825	writer	A6-584	FR	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k1022057	Tableaux de la France : souvenirs de Bourgogne / par Émile Montégut
marmier-xavier-1808-06-22	Marmier	Xavier	1808	writer	A6-544	FR	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k10955124	Un été au bord de la Baltique et de la mer du Nord, souvenirs de voyage, par X. Marmier,...
grancher-marcel-1897-08-12	Grancher	Marcel	1897	writer	E3-729	FR	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k33926207	La fin des haricots : souvenirs / Marcel E. Grancher,...
guirec-jean-charton-1898-07-31	Guirec	Jean (CHARTON)	1898	writer	E3-759	FR	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k33945319	La belle comédie : récit, souvenirs littéraires, 1919-1939 / Jean Guirec
marbo-camille-1883-04-11	Marbo	Camille	1883	novelist	A6-536	FR	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k3359085k	A travers deux siècles : souvenirs et rencontres (1883-1967) / Camille Marbo
harcourt-robert-1881-11-23	Harcourt	Robert	1881	writer	A6-407	FR	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k3380747b	Souvenirs de captivité et d'évasions (Édition définitive) / Robert d'Harcourt,...
maurois-andre-1885-07-26	Maurois	André	1885	novelist	A6-560	FR	ia	memoires0000andr	Memoires
daudet-ernest-1837-05-31	Daudet	Ernest	1837	writer	A6-231	FR	ia	souvenirsdemonte01daud	Souvenirs de mon temps
janin-jules-1804-02-16	Janin	Jules	1804	writer	A6-434	FR	ia	petitssouvenirsa00janiuoft	Petits souvenirs. Avec une eau-forte par Ad. Lalauze
