defferre-gaston-1910-09-14				1947-03-11
ancey-georges-1860-12-09				1905-01-20
guingouin-georges-1913-02-02				1945-10-19
guingouin-georges-1913-02-02				1996-05-13
guingouin-georges-1913-02-02				2005-03-25
legrain-pierre-1920-02-18				1995-07-13
lanfrey-pierre-1828-10-26				1871-10-09
lanfrey-pierre-1828-10-26				1875-12-15
lanfrey-pierre-1828-10-26				1871-02-12
opel-john-1925-01-05				1983-04-01
valery-paul-1871-10-30				1925-11-19
schulze-delitzsch-hermann-1808-08-29				1874-02-05
schulze-delitzsch-hermann-1808-08-29				1871-03-09
garaud-marie-france-quintard-1934-03-06				1999-07-20
notebart-arthur-1914-07-12				1947-10-26
guepratte-paul-1856-08-30				1919-11-16
buloz-francois-1803-09-20				1838-10-17
guingouin-georges-1913-02-02				1945-05-13
dassault-paul-bloch-1882-01-13				1944-08-25
prelot-marcel-1898-10-30				1967-09-25
kerdrel-roger-1841-02-28				1909-08-29
kneip-richard-1933-01-07				1971-01-05
kneip-richard-1933-01-07				1978-05-26
himmler-heinrich-1900-10-07				1934-08-23
himmler-heinrich-1900-10-07				1942-06-04
himmler-heinrich-1900-10-07				1943-08-24
defferre-gaston-1910-09-14				1981-06-22
defferre-gaston-1910-09-14				1981-05-21
defferre-gaston-1910-09-14				1953-05-09
defferre-gaston-1910-09-14				1983-03-22
bea-augustin-1881-05-28				1960-06-06
bea-augustin-1881-05-28				1962-04-05
bea-augustin-1881-05-28				1959-12-14
bea-augustin-1881-05-28				1962-04-19
ollenhauer-erich-1901-03-27				1950-08-07
ollenhauer-erich-1901-03-27				1949-09-07
ollenhauer-erich-1901-03-27				1957-10-15
ollenhauer-erich-1901-03-27				1953-10-06
ollenhauer-erich-1901-03-27				1961-10-17
ollenhauer-erich-1901-03-27				1952-09-27
hearnes-warren-1923-07-24				1965-01-11
daudet-leon-1867-11-16				1919-11-16
rucart-marc-1893-07-24				1936-06-01
rucart-marc-1893-07-24				1947-01-13
rucart-marc-1893-07-24				1928-06-01
rucart-marc-1893-07-24				1932-06-01
foch-ferdinand-1851-10-02				1918-11-29
foch-ferdinand-1851-10-02				1923-04-15
foch-ferdinand-1851-10-02				1923-04-15
bocuse-paul-1926-02-11				1987-02-11
bocuse-paul-1926-02-11				2015-05-15
bocuse-paul-1926-02-11				1994-01-17
bocuse-paul-1926-02-11				2003-12-06
bocuse-paul-1926-02-11				2016-04-29
bocuse-paul-1926-02-11				1975-03-15
bocuse-paul-1926-02-11				1975-02-25
watson-james-1928-04-06				2005-05-24
watson-james-1928-04-06				1981-04-09
fermi-enrico-1901-09-29				1950-04-27
faure-jacques-1906-09-07				2003-02-13
dargent-edouard-1824-10-15				1877-02-08
filhol-edouard-1814-10-07				1866-08-12
filhol-edouard-1814-10-07				1856-06-16
albert-lambert-raphael-1865-12-31				1933-12-30
cornevin-charles-1846-10-04				1885-12-29
buser-pierre-1921-08-19				2013-11-14
termier-pierre-1859-07-03				1914-01-23
termier-pierre-1859-07-03				1927-08-17
termier-pierre-1859-07-03				1897-02-06
tresca-henri-1814-10-12				1865-08-13
cordy-annie-cooreman-leonia-1928-06-16				1992-11-14
cordy-annie-cooreman-leonia-1928-06-16				2004-09-08
soisson-jean-pierre-1934-11-09				2016-11-11
leenhardt-francis-1908-04-24				1958-12-09
leenhardt-francis-1908-04-24				1973-04-02
bagley-worth-1924-07-29				1974-06-01
paul-gabriel-1918-01-27				1951-07-05
paul-gabriel-1918-01-27				1946-06-02
paul-gabriel-1918-01-27				1945-10-21
paul-gabriel-1918-01-27				1946-11-28
paul-gabriel-1918-01-27				1956-01-19
foch-ferdinand-1851-10-02				1918-11-21
dreyfous-ducas-daniel-1914-06-11				1958-12-09
ginesty-albert-1890-10-05				1939-06-24
ginesty-albert-1890-10-05				1944-06-09
chausson-clement-1887-11-25				1945-10-21
izard-georges-1903-06-17				1936-04-26
izard-georges-1903-06-17				1971-02-11
solinhac-jean-1914-03-24				1945-10-21
thiriet-jules-1906-03-30				1945-10-21
filhol-edouard-1814-10-07				1867-08-29
termier-pierre-1859-07-03				1894-08-08
termier-pierre-1859-07-03				1912-11-01
buffet-louis-joseph-1818-10-26				1875-03-10
buffet-louis-joseph-1818-10-26				1876-03-13
soisson-jean-pierre-1934-11-09				1968-07-11
soisson-jean-pierre-1934-11-09				1978-04-03
soisson-jean-pierre-1934-11-09				1997-06-12
soisson-jean-pierre-1934-11-09				1986-04-02
soisson-jean-pierre-1934-11-09				1993-04-02
soisson-jean-pierre-1934-11-09				1992-10-02
soisson-jean-pierre-1934-11-09				2007-06-20
soisson-jean-pierre-1934-11-09				1973-04-02
soisson-jean-pierre-1934-11-09				1981-07-02
soisson-jean-pierre-1934-11-09				1988-06-23
soisson-jean-pierre-1934-11-09				2002-06-19
o-callaghan-mike-1929-09-10				1971-01-04
pujo-bertrand-1878-08-21				1940-06-16
jospin-lionel-1937-07-12				2015-12-31
walter-fritz-1920-10-31				2000-10-31
reynaud-paul-1878-10-15				1948-07-26
reynaud-paul-1878-10-15				1940-06-05
reynaud-paul-1878-10-15				1940-03-20
reynaud-paul-1878-10-15				1938-04-12
reynaud-paul-1878-10-15				1949-08-13
foyer-jean-1921-04-27				1962-12-06
foyer-jean-1921-04-27				1968-07-11
foyer-jean-1921-04-27				1962-11-28
foyer-jean-1921-04-27				1966-01-08
foyer-jean-1921-04-27				1967-04-03
foyer-jean-1921-04-27				1978-04-03
foyer-jean-1921-04-27				1962-04-14
foyer-jean-1921-04-27				1959-03-07
foyer-jean-1921-04-27				1973-04-02
foyer-jean-1921-04-27				1986-04-02
foyer-jean-1921-04-27				1981-07-02
gaborit-roger-1903-12-12				1956-04-16
jospin-lionel-1937-07-12				1981-01-24
jospin-lionel-1937-07-12				2014-12-18
jospin-lionel-1937-07-12				1997-06-03
jospin-lionel-1937-07-12				1995-10-14
jospin-lionel-1937-07-12				1984-07-24
jospin-lionel-1937-07-12				1988-05-12
blachette-georges-1900-09-27				1951-06-17
liquard-emile-1905-02-04				1960-04-25
capus-alfred-1857-11-25				1914-02-12
boutroux-emile-1845-07-28				1912-10-31
dupre-marie-1813-11-25				1871-04-01
dupre-marie-1813-11-25				1865-01-04
legrand-pierre-1834-05-13				1870-09-01
jager-rene-1909-03-08				1978-01-23
jager-rene-1909-03-08				1981-01-26
holshouser-james-1934-10-08				1973-01-05
love-john-1916-11-29				1963-01-08
jospin-lionel-1937-07-12				1988-05-12
foyer-jean-1921-04-27				1994-07-13
cazenave-albert-1902-03-07				1958-06-23
poudonson-roger-1922-12-14				1993-12-31
duboc-emile-1852-07-08				1885-02-27
bonnet-amedee-1809-03-20				1847-04-25
bouet-willaumez-louis-1808-04-24				1868-12-30
