ogid	fname	gname	year	occ	gqid	cy	ia_id	title	creator
papini-giovanni-1881-01-09	Papini	Giovanni	1881	writer		IT	lememoriediddioe00papiuoft	Le memorie d'Iddio; e La vita di nessuno	Papini, Giovanni, 1881-1956
prezzolini-giuseppe-1882-01-27	Prezzolini	Giuseppe	1882	writer	A6-942	IT	memorieinutili02gozz	Memorie inutili;	Prezzolini, Giuseppe, 1882-
