ogid	fname	gname	year	occ	gqid	cy	ia_id	title	creator
sarcey-francisque-1827-10-08	Sarcey	Francisque	1827	writer	A6-725	FR	lesigedeparisim03sarcgoog	Le siège de Paris. Impressions et souvenirs	Sarcey, Francisque, 1827-1899
cheruel-pierre-1809-01-17	Cheruel	Pierre	1809	writer	A6-195	FR	mmoiressurlavi01chuoft	Mémoires sur la vie publique et privée de Fouquet, surintendant de finances, d'après ses lettres et des pièces inédite, 	Chéruel, Pierre Adolphe, 1809-1891
bazin-rene-1853-12-26	Bazin	René	1853	novelist	A6-67	FR	mmoiresdunevi00bazi	Mémoires d'une vielle fille	Bazin, René, 1853-1932
houssaye-arsene-1814-03-28	Houssaye	Arsène	1814	novelist	A6-422	FR	lesconfessionsso02housuoft	Les confessions; souvenirs d'un demisiècle, 1830-1880	Houssaye, Arsène, 1815-1896
goncourt-edmond-1822-05-26	Goncourt	Edmond	1822	novelist	A6-375	FR	journaldesgonco09gonc	Journal des Goncourt : mémoires de la vie littéraire	Goncourt, Edmond de, 1822-1896
marmier-xavier-1808-06-22	Marmier	Xavier	1808	writer	A6-544	FR	untauborddelaba00marmgoog	Un été au bord de la Baltique et de la Mer du Nord : souvenirs de voyage	Marmier, Xavier, 1809-1892
marmier-xavier-1808-06-22	Marmier	Xavier	1808	writer	A6-544	FR	untauborddel00marmuoft	Un été au bord de la Baltique et de la Mer du Nord; souvenirs de voyage	Marmier, Xavier, 1809-1892
curel-francois-1854-06-10	Curel	François	1854	writer	A6-222	FR	thtrecomplet02cureuoft	Théâtre complet. Textes remaniés par l'auteur avec l'historique de chaque pìece suivis des souvenirs de l'auteur	Curel, François de, 1854-1928
veuillot-louis-1813-10-11	Veuillot	Louis	1813	writer	A6-796	FR	lesfrancaisenalg00veui	Les français en Algérie : souvenirs d'un voyage fait en 1841	Veuillot, Louis, 1813-1883, author
goncourt-edmond-1822-05-26	Goncourt	Edmond	1822	novelist	A6-375	FR	journaldesgoncou09goncuoft	Journal des Goncourt - Mémoires de la vie littéraire	Goncourt, Edmond de, 1822-1896
goncourt-edmond-1822-05-26	Goncourt	Edmond	1822	novelist	A6-375	FR	journaldesgonco03gonc	Journal des Goncourt : mémoires de la vie littéraire	Goncourt, Edmond de, 1822-1896
quinet-edgar-1803-02-17	Quinet	Edgar	1803	writer	A6-666	FR	histoiredemesid00quinuoft	Histoire de mes idées; autobiographie	Quinet, Edgar, 1803-1875
soulie-frederic-1800-12-23	Soulie	Frédéric	1800	writer	A6-751	FR	lesmmoiresdudi00soul	Les mémoires du diable	Soulié, Frédéric, 1800-1847
simon-jules-1814-12-27	Simon	Jules	1814	writer	A6-745	FR	nouveauxmmoire00simo	Nouveaux mémoires des autres	Simon, Jules, 1814-1896
sue-eugene-1804-01-26	Sue	Eugène	1804	novelist	A6-757	FR	mathildemmoir06suee	Mathilde : mémoires d'une jeune femme	Sue, Eugène, 1804-1857
sue-eugene-1804-01-26	Sue	Eugène	1804	novelist	A6-757	FR	martinlenfanttr00etatgoog	Martin l'enfant trouvé; ou, Les Memoires d'un valet de chambre	Sue, Eugène, 1804-1857
feval-paul-1816-09-29	Feval	Paul	1816	novelist	A6-314	FR	p2madamegilblass01fvuoft	Madame Gil Blas : souvenirs et aventures d'une femme de notre temps, redigés d'près ses notes et manuscrits	Féval, Paul, 1817-1887
daudet-ernest-1837-05-31	Daudet	Ernest	1837	writer	A6-231	FR	mmoiresdutempsde00duca	Mémoires du temps de Louis XIV [microform]	Daudet, Ernest, 1837-1921
maurois-andre-1885-07-26	Maurois	André	1885	novelist	A6-560	FR	memoires0000andr	Memoires	Andre Maurois
feval-paul-1816-09-29	Feval	Paul	1816	novelist	A6-314	FR	MariEmbaume02	Le Mari embaumé, souvenirs d'un page de M. de Vendôme	Paul Henri Corentin Féval
souvestre-emile-1806-04-15	Souvestre	Emile	1806	novelist	A6-753	FR	confessionsduno00souvuoft	Confessions d'un ouvrier;	Souvestre, Emile, 1806-1854
sainte-beuve-charles-1804-12-23	Sainte-Beuve	Charles	1804	writer	A6-717	FR	mmoiresdemmede03mott	Mémoires de mme. de Motteville sur Anne d'Autriche et sa cour	Sainte-Beuve, Charles Augustin, 1804-1869
sarcey-francisque-1827-10-08	Sarcey	Francisque	1827	writer	A6-725	FR	souvenirsdejeune00sarc	Souvenirs de jeunesse	Sarcey, Francisque, 1827-1899
gebhart-emile-1839-07-19	Gebhart	Emile	1839	writer	A6-357	FR	souvenirsdunviei00gebh	Souvenirs d'un vieil Athénien	Gebhart, Émile, 1839-1908
schure-edouard-1841-01-21	Schure	Edouard	1841	writer	A6-732	FR	souvenirssurric00schugoog	Souvenirs sur Richard Wagner : la première de Tristan et Iseult	Schuré, Edouard, 1841-1929
daudet-ernest-1837-05-31	Daudet	Ernest	1837	writer	A6-231	FR	souvenirsdemonte01daud	Souvenirs de mon temps	Daudet, Ernest, 1837-1921
sue-eugene-1804-01-26	Sue	Eugène	1804	novelist	A6-757	FR	martinlenfanttro05sueeuoft	Martin l'enfant trouvé : ou, Les mémoires d'un valet de chambre	Sue, Eugène, 1804-1857
souvestre-emile-1806-04-15	Souvestre	Emile	1806	novelist	A6-753	FR	confessionsduno01souvgoog	Confessions d'un ouvrier	Souvestre, Émile, 1806-1854
claretie-jules-1840-12-03	Claretie	Jules	1840	novelist	A6-201	FR	mmoiresdemadam01rola	Mémoires de madame Roland \	Claretie, Jules, 1840-1913
sue-eugene-1804-01-26	Sue	Eugène	1804	novelist	A6-757	FR	mathildemmoiresd33454gut	Mathilde mémoires d'une jeune femme	Sue, Eugène, 1804-1857
cheruel-pierre-1809-01-17	Cheruel	Pierre	1809	writer	A6-195	FR	journaldolivierl02orme	Journal d'Olivier Lefèvre d'Ormesson, et extraits des mémoires d'André Lefèvre d'Ormesson. Publiés par M. Cheruel	Cheruel, Pierre Adolphe, 1809-1891
goncourt-edmond-1822-05-26	Goncourt	Edmond	1822	novelist	A6-375	FR	journaldesgoncou02goncuoft	Journal des Goncourt - Mémoires de la vie littéraire	Goncourt, Edmond de, 1822-1896
soulie-frederic-1800-12-23	Soulie	Frédéric	1800	writer	A6-751	FR	lesmmoiresdudi01souluoft	Les mémoires du diable	Soulié, Frédéric, 1800-1847
goncourt-edmond-1822-05-26	Goncourt	Edmond	1822	novelist	A6-375	FR	journaldesgonco04gonc	Journal des Goncourt : mémoires de la vie littéraire	Goncourt, Edmond de, 1822-1896
cheruel-pierre-1809-01-17	Cheruel	Pierre	1809	writer	A6-195	FR	ssmmoirescompl04sain	Mémoires complets et authentiques du duc de Saint-Simon, sur le siècle de Louis XIV et la Régence	Chéruel, Pierre Adolphe, 1809-1891
houssaye-arsene-1814-03-28	Houssaye	Arsène	1814	novelist	A6-422	FR	souvenirsdejeune00hous_0	Souvenirs de jeunesse, 1850-1870	Houssaye, Arsène, 1815-1896
souvestre-emile-1806-04-15	Souvestre	Emile	1806	novelist	A6-753	FR	confessionsdun00souv	Confessions d'un ouvrier	Souvestre, Emile, 1806-1854
sue-eugene-1804-01-26	Sue	Eugène	1804	novelist	A6-757	FR	martinlenfanttro07sueeuoft	Martin l'enfant trouvé : ou, Les mémoires d'un valet de chambre	Sue, Eugène, 1804-1857
bernard-tristan-1866-09-07	Bernard	Tristan	1866	writer	A6-94	FR	mmoiresdunjeuneh0000tris	Mémoires d'un jeune homme rangé : roman	Bernard, Tristan, 1866-1947
soulie-frederic-1800-12-23	Soulie	Frédéric	1800	writer	A6-751	FR	huitjoursaucht00souluoft	Huit jours au château : extrait des mémoires d'un jeune homme	Soulié, Frédéric, 1800-1847
davignon-henri-1879-08-23	Davignon	Henri	1879	novelist	A6-1065	BE	delaprincessedec0000davi	De la Princesse de Clèves à Thérèse Desqueyroux ; essais et souvenirs	Davignon, Henri, vicomte, 1879-
souvestre-emile-1806-04-15	Souvestre	Emile	1806	novelist	A6-753	FR	confessionsdunou00souvuoft	Confessions d'un ouvrier	Souvestre, Emile, 1806-1854
paris-gaston-1839-08-09	Paris	Gaston	1839	writer	A6-613	FR	recueildemmoir00pariuoft	Recueil de mémoires philologiques présenté à Gaston Paris	Paris, Gaston Bruno Paulin, 1839-1903
