# NY.GDP.PCAP.KD.ZG, World Bank API, снято 2026-07-26; только страны, сматченные с GWF
Bangladesh	1980	-1.5650
Bangladesh	1981	4.5185
Bangladesh	1982	-0.6293
Bangladesh	1983	1.1344
Bangladesh	1984	2.1463
Bangladesh	1985	0.8280
Bangladesh	1986	1.7559
Bangladesh	1987	1.4750
Bangladesh	1988	0.2606
Bangladesh	1989	0.7525
Bangladesh	1990	3.5408
Bangladesh	1991	1.5268
Bangladesh	1992	3.4738
Bangladesh	1993	2.7791
Bangladesh	1994	1.9816
Bangladesh	1995	3.1859
Bangladesh	1996	2.6295
Bangladesh	1997	2.5710
Bangladesh	1998	3.2100
Bangladesh	1999	2.7007
Bangladesh	2000	3.3867
Bangladesh	2001	3.3403
Bangladesh	2002	2.2429
Bangladesh	2003	3.2263
Bangladesh	2004	3.8164
Bangladesh	2005	5.2013
Bangladesh	2006	5.4404
Bangladesh	2007	5.9132
Bangladesh	2008	4.9606
Bangladesh	2009	4.0708
Bangladesh	2010	4.6505
Belarus	1991	-1.2456
Belarus	1992	-9.7984
Belarus	1993	-7.8038
Belarus	1994	-11.5956
Belarus	1995	-10.1089
Belarus	1996	3.1467
Belarus	1997	11.8640
Belarus	1998	8.8894
Belarus	1999	3.8664
Belarus	2000	6.2996
Belarus	2001	5.2639
Belarus	2002	5.7161
Belarus	2003	7.7949
Belarus	2004	12.2126
Belarus	2005	10.1498
Belarus	2006	10.6756
Belarus	2007	9.0995
Belarus	2008	10.5813
Belarus	2009	0.4467
Belarus	2010	7.9857
Benin	1961	1.4511
Benin	1962	-5.1111
Benin	1963	2.8253
Benin	1964	4.6355
Benin	1965	3.2348
Benin	1966	1.5009
Benin	1967	-0.9861
Benin	1968	1.6744
Benin	1969	0.6827
Benin	1970	-0.1285
Benin	1971	-3.6873
Benin	1972	4.0117
Benin	1973	1.3073
Benin	1974	0.9073
Benin	1975	-7.1802
Benin	1976	-1.5945
Benin	1977	2.3467
Benin	1978	-1.3347
Benin	1979	3.7396
Benin	1980	3.8785
Benin	1981	6.8760
Benin	1982	-0.6744
Benin	1983	-7.0835
Benin	1984	4.8208
Benin	1985	4.3998
Benin	1986	-0.8316
Benin	1987	-4.4246
Benin	1988	0.3065
