decision	ogid	pg_id	title	reason
reject	bourges-elemir-1852-03-26	60841	Les oiseaux s'envolent et les fleurs tombent	fiction-as-memoir (Subjects)
reject	reclus-elisee-1830-03-15	60850	Histoire d'une Montagne	not-memoir-title
reject	sainte-beuve-charles-1804-12-23	60882	De l'Amour Édition revue et corrigée et précédée d'une étude	not-memoir-title
reject	souvestre-emile-1806-04-15	60891	Le monde tel qu'il sera	fiction-as-memoir (Subjects)
reject	maurois-andre-1885-07-26	61160	Par la faute de M. de Balzac	not-memoir-title
reject	le-roy-eugene-1836-11-29	61227	Jacquou le Croquant	fiction-as-memoir (Subjects)
reject	lorrain-jean-1855-08-09	61270	Poussières de Paris	not-memoir-title
reject	monselet-charles-1825-04-30	61318	Les amours du temps passé	fiction-as-memoir (Subjects)
reject	boylesve-rene-1867-04-14	61351	La leçon d'amour dans un parc	fiction-as-memoir (Subjects)
reject	maurois-andre-1885-07-26	61373	Les Bourgeois de Witzheim	fiction-as-memoir (Subjects)
reject	boylesve-rene-1867-04-14	61500	Les Bains de Bade: Petit Roman d'aventures Galantes et moral	fiction-as-memoir (Subjects)
reject	lorrain-jean-1855-08-09	61675	Ellen	fiction-as-memoir (Subjects)
reject	reclus-elisee-1830-03-15	61697	Histoire d'un ruisseau	not-memoir-title
reject	boylesve-rene-1867-04-14	61768	La poudre aux yeux	fiction-as-memoir (Subjects)
reject	houssaye-arsene-1814-03-28	62196	Le roi Voltaire	not-memoir-title
reject	janin-jules-1804-02-16	62196	Le roi Voltaire	not-memoir-title
reject	leroux-gaston-1868-05-06	62215	Le Fantôme de l'Opéra	fiction-as-memoir (Subjects)
reject	paris-gaston-1839-08-09	62538	La leggenda di Saladino	not-memoir-title
reject	houssaye-arsene-1814-03-28	62753	Les Dieux et les Demi-Dieux de la Peinture	not-memoir-title
reject	sandeau-jules-1811-02-19	62960	Jean de Thommeray; Le colonel Evrard	fiction-as-memoir (Subjects)
reject	goncourt-edmond-1822-05-26	63179	Manette Salomon	fiction-as-memoir (Subjects)
reject	alain-fournier-henri-1886-10-03	63185	Miracles avec une introduction de Jacques Rivière	fiction-as-memoir (Subjects)
reject	riviere-jacques-1886-07-15	63185	Miracles avec une introduction de Jacques Rivière	fiction-as-memoir (Subjects)
reject	boylesve-rene-1867-04-14	63206	L'enfant à la balustrade	fiction-as-memoir (Subjects)
reject	lichtenberger-andre-1870-11-29	63260	Le Grand Silence Blanc: Roman vécu d'Alaska	fiction-as-memoir (Subjects)
reject	about-edmond-1828-02-14	63267	Dernières lettres d'un bon jeune homme à sa cousine Madelein	not-memoir-title
reject	maurois-andre-1885-07-26	63271	Ni ange, ni bête	fiction-as-memoir (Subjects)
reject	lorrain-jean-1855-08-09	63303	Le crime des riches	fiction-as-memoir (Subjects)
reject	monselet-charles-1825-04-30	63319	Histoire anecdotique du tribunal révolutionnaire	not-memoir-title
reject	monselet-charles-1825-04-30	63470	Les vignes du Seigneur	not-memoir-title
reject	monselet-charles-1825-04-30	63543	Les femmes qui font des scènes	not-memoir-title
reject	guillaumin-emile-1873-11-10	63646	La Vie d'un Simple (Mémoires d'un Métayer)	fiction-as-memoir (Subjects)
reject	boylesve-rene-1867-04-14	63647	La marchande de petits pains pour les canards	fiction-as-memoir (Subjects)
reject	lorrain-jean-1855-08-09	63726	Pelléastres. Le poison de la littérature. Crimes de Montmart	not-memoir-title
reject	boylesve-rene-1867-04-14	63762	Nymphes dansant avec des satyres	fiction-as-memoir (Subjects)
reject	about-edmond-1828-02-14	63937	Tolla	fiction-as-memoir (Subjects)
reject	about-edmond-1828-02-14	63951	Les mariages de province La fille du chanoine, Mainfroi, L'a	fiction-as-memoir (Subjects)
reject	about-edmond-1828-02-14	63979	L'infâme	fiction-as-memoir (Subjects)
reject	pouvillon-emile-1840-10-10	64086	L'image	fiction-as-memoir (Subjects)
