claudel-paul-1868-08-06	1868-08-06 03:45:32	3.61667	49.56667	1955-02-23	http://www.wikidata.org/entity/Q295830	Paul Claudel
bazaine-hayter-georges-1843-12-04	1843-12-04 04:20:48	2.3	49.9	1914-02-02	http://www.wikidata.org/entity/Q3102172	George Albert Bazaine-Hayter
le-chatelier-henry-1850-10-08	1850-10-08 02:05:40	2.3488	48.85341	1936-09-17	http://www.wikidata.org/entity/Q121926	Henry Louis Le Châtelier
bonifaci-antoine-1931-09-04	1931-09-04 00:00	2.2128	48.92426	2021-12-29	http://www.wikidata.org/entity/Q441323	Antoine Bonifaci
drell-sidney-1926-09-13	1926-09-13 08:07	-74.45	39.35	2016-12-21	http://www.wikidata.org/entity/Q779433	Sidney Drell
baron-vincent-1820-06-11	1820-06-11 22:39:08	5.1992	45.90823	1892-05-05	http://www.wikidata.org/entity/Q2526527	Vincent Alfred Baron
corbiere-tristan-1845-07-18	1845-07-18 18:16:24	-4.1	48	1875-03-01	http://www.wikidata.org/entity/Q316536	Tristan Corbière
mathiez-albert-1874-01-10	1874-01-10 16:35:24	6.48477	47.83228	1932-02-25	http://www.wikidata.org/entity/Q1343174	Albert Mathiez
regaudie-rene-1908-04-14				2000-01-23	http://www.wikidata.org/entity/Q3426802	René Regaudie
senfftleben-georges-1922-12-19	1922-12-19 22:30	2.26692	48.80299	1998-08-24	http://www.wikidata.org/entity/Q1509075	Georges Senfftleben
cier-jean-francols-1915-03-21	1915-03-21 17:00	7.26608	43.70313	2008-11-04	http://www.wikidata.org/entity/Q104715431	Jean-François Cier
pallut-pierre-1918-06-30	1918-06-30 09:00	1.94492	48.34583	1999-01-23	http://www.wikidata.org/entity/Q97016498	Pierre Pallut
payrau-paul-1911-08-13	1911-08-13 13:00	0.83526	43.38153	1999-04-24	http://www.wikidata.org/entity/Q84849938	Paul Payrau
langlet-jean-baptiste-nicaise-1841-09-07		4.36667	48.95	1927-03-07	http://www.wikidata.org/entity/Q3164202	Jean-Baptiste Langlet
steger-milly-1881-06-15		6.63	51.45	1948-10-31	http://www.wikidata.org/entity/Q1246805	Milly Steger
panizza-serge-1942-11-19	1942-11-19 06:00	-2.34	48.86	2016-03-24	http://www.wikidata.org/entity/Q3955906	Serge Panizza
metz-victor-de-1902-04-28	1902-04-28 11:51	6.14251	47.62604	1982-01-31	http://www.wikidata.org/entity/Q15971772	Victor de Metz
herve-jules-1887-04-14	1887-04-14 13:39:28	5.33308	47.86263	1981-11-13	http://www.wikidata.org/entity/Q3188375	Jules-René Hervé
thomas-raymond-1906-11-27		0	0	1970-12-02	http://www.wikidata.org/entity/Q75306256	Sir Thomas Dundas, 7th Baronet
decaux-jean-claude-1937-09-15	1937-09-15 15:30	2.08333	49.43333	2016-05-27	http://www.wikidata.org/entity/Q981499	Jean-Claude Decaux
jonquet-robert-1925-05-03	1925-05-03 09:00	2.3488	48.85341	2008-12-17	http://www.wikidata.org/entity/Q708974	Robert Jonquet
camus-de-la-g-emile-1833-03-02				1919-06-17	http://www.wikidata.org/entity/Q111371189	Raoul Camus de La Guibourgère
cottet-jules-gaspard-1871-05-14		6.11667	45.9	1959-12-03	http://www.wikidata.org/entity/Q20961784	Jules Cottet
dugoni-bruno-1905-03-30	1905-03-30 01:25	10.92539	44.64783	1942-01-01	http://www.wikidata.org/entity/Q3645737	Bruno Dugoni
jourdain-roger-joseph-1845-12-11	1845-12-11 05:55:16	1.16667	49.21667	1918-08-18	http://www.wikidata.org/entity/Q1707904	Roger Jourdain
hamburger-jean-1909-07-15	1909-07-15 19:21	2.3488	48.85341	1992-02-01	http://www.wikidata.org/entity/Q536286	Jean Hamburger
couture-thomas-1815-12-21	1815-12-21 22:51:40	2.58661	49.20724	1879-03-29	http://www.wikidata.org/entity/Q326434	Thomas Couture
levy-michel-1809-09-28		7.75	48.58333	1872-03-19	http://www.wikidata.org/entity/Q3310240	Michel Lévy
boscary-monsservin-roland-1904-05-12	1904-05-12 18:51	2.57338	44.35258	1988-11-13	http://www.wikidata.org/entity/Q3439968	Roland Boscary-Monsservin
baragnon-numa-1835-11-24	1835-11-24 00:43	4.35788	43.83665	1892-05-18	http://www.wikidata.org/entity/Q3383853	Louis-Numa Baragnon
sieg-charles-1837-08-08	1837-08-08 01:00:36	7.27707	48.08748	1899-04-06	http://www.wikidata.org/entity/Q2522584	Victor Sieg
janin-jules-1804-02-16	1804-02-16 20:42:28	4.39	45.43389	1874-06-19	http://www.wikidata.org/entity/Q956459	Jules Janin
petitfils-andre-1920-02-10	1920-02-10 21:40	1.90389	47.90289	2001-10-03	http://www.wikidata.org/entity/Q522257	André Petitfils
jodelet-emmanuel-1883-12-24	1883-12-24 06:37:48	5.57726	47.02043	1973-01-03	http://www.wikidata.org/entity/Q2959015	Emmanuel Jodelet
delbet-pierre-1861-11-15	1861-11-15 07:49:20	2.66667	48.55	1957-07-17	http://www.wikidata.org/entity/Q3384684	Pierre Delbet
renault-thomas-1805-02-11	1805-02-11 17:52	2	49	1863-05-27	http://www.wikidata.org/entity/Q16748249	Eugène Renault
lillaz-henri-1881-01-06		0	0	1949-09-10	http://www.wikidata.org/entity/Q3131493	Henri Lillaz
souvestre-emile-1806-04-15	1806-04-15 23:46:24	-3.82792	48.57784	1854-07-05	http://www.wikidata.org/entity/Q286475	Émile Souvestre
perier-charles-1836-03-20	1836-03-20 07:50:40	2.3488	48.85341	1914-12-14	http://www.wikidata.org/entity/Q98909536	Charles Perier
bourdon-alexis-1814-05-25	1814-05-25 14:35:12	6.05635	48.90702	1892-01-28	http://www.wikidata.org/entity/Q105338136	Alexis Hippolyte Bourdon
muhl-roger-1929-12-20	1929-12-20 10:00	7.74553	48.58392	2008-04-04	http://www.wikidata.org/entity/Q3439309	Roger Mühl
wiener-jean-1896-03-19	1896-03-19 13:51	2.3488	48.85341	1982-06-08	http://www.wikidata.org/entity/Q553384	Jean Wiener
baruk-henri-1897-08-15	1897-08-15 01:51	-2.7349	47.6865	1999-06-14	http://www.wikidata.org/entity/Q1556834	Henri Baruk
boudin-georges-1906-09-03	1906-09-03 22:51	5.65727	46.25917	1983-12-27	http://www.wikidata.org/entity/Q89058242	Georges Boudin
gamblin-lucien-1890-07-22	1890-07-22 01:50	2.38487	48.81568	1972-08-30	http://www.wikidata.org/entity/Q381627	Lucien Gamblin
dorgebray-robert-1915-10-16	1915-10-16 09:00	2.17099	49.13202	2005-09-29	http://www.wikidata.org/entity/Q168971	Robert Dorgebray
cesbron-gilbert-1913-01-13	1913-01-13 03:00	2.3488	48.85341	1979-08-12	http://www.wikidata.org/entity/Q2714618	Gilbert Cesbron
renault-camille-1904-05-02	1904-05-02 06:51	1.82129	49.2854	1984-03-27	http://www.wikidata.org/entity/Q2935054	Camille Renault
roy-de-mericourt-alfred-1825-10-13	1825-10-13 20:50:48	1.83547	50.10521	1901-08-12	http://www.wikidata.org/entity/Q2835258	Alfred Le Roy de Méricourt
luisetti-angelo-1916-06-16	1916-06-16 16:30	-122.41667	37.78333	2002-12-17	http://www.wikidata.org/entity/Q1575566	Hank Luisetti
woillez-eugene-1811-01-19	1811-01-19 17:48:56	2.76667	50.3	1882-11-03	http://www.wikidata.org/entity/Q3060219	Eugène Woillez
la-grandiere-pierre-1807-06-28	1807-06-28 07:06:40	-2.08421	47.65165	1876-08-25	http://www.wikidata.org/entity/Q3383462	Pierre-Paul de La Grandière
robida-albert-1848-05-14	1848-05-14 14:51:40	2.82606	49.41794	1926-10-11	http://www.wikidata.org/entity/Q946733	Albert Robida
niox-gustave-1840-08-02	1840-08-02 14:49:20	3.29939	48.55897	1921-10-26	http://www.wikidata.org/entity/Q945147	Gustave Léon Niox
rudigoz-roger-1922-08-26	1922-08-26 21:00	4.9	44.93333	1996-02-21	http://www.wikidata.org/entity/Q3439435	Roger Rudigoz
hamy-maurice-1861-10-31	1861-10-31 01:03:56	1.61392	50.72571	1936-04-09	http://www.wikidata.org/entity/Q845549	Maurice Hamy
noether-emmy-1882-03-23		11	49.6	1935-04-14	http://www.wikidata.org/entity/Q7099	Emmy Noether
kidd-isaac-1919-08-14	1919-08-15 00:20	-81.7	41.5	1999-06-27	http://www.wikidata.org/entity/Q6076108	Isaac C. Kidd, Jr.
